Time Sec,Time Nsec,Lo ADC A-CH0,Lo ADC A-CH1,Lo ADC A-CH2,Lo ADC A-CH3,Lo ADC A-CH4,Lo ADC A-CH5,Lo ADC A-CH6,Lo ADC A-CH7,Lo ADC A-CH8,Lo ADC A-CH9,Lo ADC A-CH11,Lo ADC A-CH12,Lo ADC A-CH14,IMU Pos East,IMU Pos North,IMU Pos Up,IMU Att Yaw,IMU Att Roll,IMU Att Y Rate,IMU Att R Rate,IMU Bias GyroZ,GPS Pos Ant E,GPS Pos Ant N,GPS Pos Ant U,GPS Heading,GPS HeadingRaw,GPS Horz Vel,GPS Pos Type,Gyro Z,Steering Angle,Track Speed,Gear Lever,XTE,Cmd Angle,FF Angle,Path Heading,Steering PWM1,Steering PWM2,PID cmd 1,PID cmd 2,Cmd Pressure 1,Cmd Pressure 2,Valve Press. 1,Valve Press. 2,Cmd Yaw Rate,Control Volts,Engine RPM,System State,Swath Offset,Veh Direction,NVD Xcorr,GHF Heading
1373639254,742000000,37.875,0.022417578846216202,0.015824174508452415,0.0,0.66162109375,4.97802734375,2.2412109375,4.98046875,14.080255508422852,4.976806640625,0.0029589843470603228,0.0029589843470603228,0.0029589843470603228,-86.79543763220711,52.52718192831984,22.61727360139267,298.10577392578125,3.780916213989258,-0.027612274512648582,-0.19706599414348602,-0.11579984426498413,-87.01028070118673,52.86933956442226,25.620639103464782,295.80419921875,297.47442626953125,0.9862295985221863,4,-0.14341211318969727,-0.44385188817977905,0.0,1,0.8245681524276733,37.0099983215332,0.0,299.83770751953125,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,9.234077879227698e-05,295.40185546875
1373639254,762000000,37.75,0.022417578846216202,0.015824174508452415,0.0,0.66162109375,4.97802734375,2.2412109375,4.979248046875,14.100564002990723,4.979248046875,0.0029589843470603228,0.0,0.0029589843470603228,-86.81283637702866,52.536474031670004,22.61727360139267,298.105224609375,3.7857754230499268,0.02199985831975937,0.24295836687088013,-0.11579982191324234,-87.01028070118673,52.86933956442226,25.620639103464782,295.80419921875,297.47442626953125,0.9862295985221863,4,-0.09379995614290237,-0.44385188817977905,0.0,1,0.8251644968986511,37.0099983215332,0.0,299.83770751953125,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,9.234077879227698e-05,295.40185546875
1373639254,782000000,37.625,0.022417578846216202,0.015824174508452415,0.0,0.66162109375,4.97802734375,2.2412109375,4.98291015625,14.093793869018555,4.979248046875,0.0029589843470603228,0.0029589843470603228,0.0029589843470603228,-86.8302350473444,52.54576627378723,22.61727360139267,298.1056823730469,3.7975966930389404,0.037179023027420044,0.5910675525665283,-0.11579982191324234,-87.01028070118673,52.86933956442226,25.620639103464782,295.80419921875,297.47442626953125,0.9862295985221863,4,-0.0786207914352417,-0.44385188817977905,0.0,1,0.8257606625556946,37.0099983215332,0.0,299.83770751953125,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,9.234077879227698e-05,295.40185546875
1373639254,802000000,37.625,0.022417578846216202,0.015824174508452415,0.0,0.66162109375,4.97802734375,2.2412109375,4.979248046875,14.093793869018555,4.979248046875,0.0029589843470603228,0.0,0.0029589843470603228,-86.84763359845086,52.555058739421874,22.61727360139267,298.1064147949219,3.8112926483154297,0.23372697830200195,0.684799075126648,-0.11579973995685577,-87.01028070118673,52.86933956442226,25.620639103464782,295.80419921875,297.47442626953125,0.9862295985221863,4,0.11792727559804916,-0.44385188817977905,0.0,1,0.8263565897941589,37.0099983215332,0.0,299.83770751953125,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,7.364703196799383e-05,295.40185546875
1373639254,822000000,37.75,0.022417578846216202,0.015824174508452415,0.0,0.66162109375,4.97802734375,2.2412109375,4.97802734375,14.107333183288574,4.98046875,0.0029589843470603228,0.0,0.0029589843470603228,-86.86503139332338,52.564352622529476,22.61727360139267,298.111083984375,3.825176239013672,0.5246044993400574,0.694183349609375,-0.11579962074756622,-87.01028070118673,52.86933956442226,25.620639103464782,295.80419921875,297.47442626953125,0.9862295985221863,4,0.4088049530982971,-0.44385188817977905,0.0,1,0.8269509077072144,37.0099983215332,0.0,299.83770751953125,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,7.364703196799383e-05,295.40185546875
1373639254,842000000,37.75,0.022417578846216202,0.015824174508452415,0.0,0.66162109375,4.97802734375,2.2412109375,4.98046875,14.100564002990723,4.98046875,0.0029589843470603228,0.0029589843470603228,0.0029589843470603228,-86.88242748387559,52.57364969262293,22.61727360139267,298.12158203125,3.836455821990967,0.41732046008110046,0.5639815926551819,-0.1157996654510498,-87.01028070118673,52.86933956442226,25.620639103464782,295.80419921875,297.47442626953125,0.9862295985221863,4,0.30152076482772827,-0.44385188817977905,0.0,1,0.8275416493415833,37.0099983215332,0.0,299.83770751953125,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,7.364703196799383e-05,295.40185546875
1373639254,862000000,37.5,0.022417578846216202,0.015824174508452415,0.0,0.660400390625,4.97802734375,2.2412109375,4.98291015625,14.107333183288574,4.979248046875,0.0029589843470603228,0.0029589843470603228,0.0029589843470603228,-86.90014029569306,52.592888694222886,22.613292834713366,298.215087890625,3.8448925018310547,0.2348930388689041,0.4218285381793976,-0.12365373969078064,-87.18517406288282,52.971948474678356,25.616635869257152,296.1967468261719,298.26123046875,0.9820634722709656,4,0.11123926192522049,-0.44385188817977905,0.0,1,0.8196659088134766,37.0099983215332,0.0,299.83770751953125,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,7.364703196799383e-05,300.34228515625
1373639254,882000000,37.625,0.022417578846216202,0.015824174508452415,0.0,0.660400390625,4.97802734375,2.2412109375,4.97802734375,14.114102363586426,4.979248046875,0.0029589843470603228,0.0029589843470603228,0.0029589843470603228,-86.91744700721779,52.60217616889985,22.613292834713366,298.21978759765625,3.850107192993164,0.3032352328300476,0.2607361674308777,-0.12365370988845825,-87.18517406288282,52.971948474678356,25.616635869257152,296.1967468261719,298.26123046875,0.9820634722709656,4,0.17958152294158936,-0.44385188817977905,0.0,1,0.8202204704284668,37.0099983215332,0.0,299.83770751953125,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,7.364703196799383e-05,300.34228515625
1373639254,902000000,37.75,0.022417578846216202,0.015824174508452415,0.0,0.660400390625,4.97802734375,2.2412109375,4.98046875,14.114102363586426,4.979248046875,0.0029589843470603228,0.0029589843470603228,0.0029589843470603228,-86.93475273340323,52.61146547735097,22.613292834713366,298.2258605957031,3.8479135036468506,0.040265198796987534,-0.10968150943517685,-0.1236538216471672,-87.18517406288282,52.971948474678356,25.616635869257152,296.1967468261719,298.26123046875,0.9820634722709656,4,-0.08338867127895355,-0.44385188817977905,0.0,1,0.8207729458808899,37.0099983215332,0.0,299.83770751953125,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,7.364703196799383e-05,300.34228515625
1373639254,922000000,37.625,0.022417578846216202,0.015824174508452415,0.0,0.660400390625,4.97802734375,2.2412109375,4.97802734375,14.107333183288574,4.98046875,0.0029589843470603228,0.0029589843470603228,0.0029589843470603228,-86.9520583329288,52.62075502608331,22.613292834713366,298.2266540527344,3.846210479736328,-0.131193608045578,-0.08515596389770508,-0.12365388870239258,-87.18517406288282,52.971948474678356,25.616635869257152,296.1967468261719,298.26123046875,0.9820634722709656,4,-0.25484752655029297,-0.44385188817977905,0.0,1,0.8213251829147339,37.0099983215332,0.0,299.83770751953125,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,7.364703196799383e-05,300.34228515625
